,CAS-ID,Compound Names,Smiles from CAS IDs,predicted_pIC50_cas_values,distance_to_ensemble_models_for_cas_compounds
78,1551453-60-1,"2,7,10,12-Tetraazatridec-4-enoic acid, 12-methyl-9-(1-methylethyl)-13-[2-(1-methylethyl)-4-thiazolyl]-8,11-dioxo-3,6-bis(phenylmethyl)-, 5-thiazolylmethyl ester, (3S,4E,6S,9S)-",Not available,-0.8506836859216785,0.21683080323553694
79,1956363-73-7,"Carbamic acid, N-[(1S,2R)-2-hydroxy-3-[[(4-methoxyphenyl)sulfonyl](2-methylpropyl)amino]-1-(tricyclo[3.3.1.13,7]dec-1-ylmethyl)propyl]-, (3R)-tetrahydro-3-furanyl ester",Not available,-0.851236267228603,0.21408581324639306
80,1184942-44-6,"5,8-Dioxa-3-aza-4-phosphanonanoic acid, 9-(2-amino-1,6-dihydro-6-oxo-9H-purin-9-yl)-2-methyl-4-(1-naphthalenyloxy)-, propyl ester, 4-oxide, (2S)-",Not available,-0.8532980767360424,0.16557446737982603
81,2242605-60-1,"Furo[3Ã¢â‚¬Â²,4Ã¢â‚¬Â²:6,7]naphtho[2,3-d]-1,3-dioxole, 9-ethoxy-5,5a,6,8,8a,9-hexahydro-6-methylene-5-(3,4,5-trimethoxyphenyl)-, (5R,5aS,8aR,9R)-",Not available,-0.8553453969049201,0.2506360759911229
82,2242429-32-7,"2,5,6,10,13-Pentaazatetradecanedioic acid, 6-[[2-fluoro-4-(5-fluoro-2-pyridinyl)phenyl]methyl]-8-hydroxy-9-[[4-[2-[6-[8-(3-oxetanyl)-3,8-diazabicyclo[3.2.1]oct-3-yl]-3-pyridinyl]ethynyl]phenyl]methyl]-4,11-dioxo-3,12-bis(2,2,2-trifluoro-1,1-dimethylethyl)-, 1,14-dimethyl ester, (3S,8S,9S,12S)-",Not available,-0.8553453969049201,0.2506360759911229
83,1947402-04-1,"1,3,5-Benzenetriol, 2-[[(9-ÃŽÂ²-D-arabinofuranosyl-9H-purin-6-yl)amino]methyl]-",Not available,-0.8560446243400301,0.27374430670652805
84,1949770-73-3,"Carbamic acid, N-[(1S)-1-[[(2S)-2-[5-chloro-7-[4-[2-[(2S)-1-[(2S)-3-methyl-2-[[(1-methylethoxy)carbonyl]amino]-1-oxobutyl]-2-pyrrolidinyl]-1H-imidazol-5-yl]phenyl]-1H-naphth[1,2-d]imidazol-2-yl]-1-pyrrolidinyl]carbonyl]-2-methylpropyl]-, 1-methylethyl ester",Not available,-0.86082622291492,0.261839176502344
85,847574-70-3,"1H-Imidazo[4,5-c]quinolin-4-amine, 7-[(2-methylphenyl)methoxy]-1-(2-methylpropyl)-2-propyl-",Not available,-0.8632378798389234,0.26156365501951845
86,847574-76-9,"1H-Imidazo[4,5-c]quinolin-4-amine, 2-(ethoxymethyl)-7-[(3-methylphenyl)methoxy]-1-(2-methylpropyl)-",Not available,-0.8632378798389234,0.26156365501951845
87,864808-76-4,"3-Azabicyclo[3.1.0]hexane-2-carboxamide, N-[3-amino-1-(cyclopropylmethyl)-2,3-dioxopropyl]-3-[(2S)-2-[[[[1-[(dimethylamino)carbonyl]cyclohexyl]amino]carbonyl]amino]-3,3-dimethyl-1-oxobutyl]-6,6-dimethyl-, (1R,2S,5S)-",Not available,-0.8654975155575328,0.27382448254851927
88,194918-84-8,"Phosphoric acid, mono[2-[(2-amino-1,6-dihydro-6-oxo-9H-purin-9-yl)methoxy]ethyl] mono[2-hydroxy-3-(octadecyloxy)propyl] ester, (R)-",Not available,-0.8661607533452476,0.23178683675760894
89,1442563-24-7,"D-glycero-D-galacto-Non-2-enonic acid, 5-(acetylamino)-2,6-anhydro-3,4,5-trideoxy-4-[[imino[(1-oxo-4-phenoxybutyl)amino]methyl]amino]-",Not available,-0.8662208139905763,0.24671844972877216
90,1184942-52-6,"5,8-Dioxa-3-aza-4-phosphanonanoic acid, 9-(2-amino-1,6-dihydro-6-oxo-9H-purin-9-yl)-2,2-dimethyl-4-phenoxy-, phenylmethyl ester, 4-oxide",Not available,-0.8663113723565873,0.22664527482299002
91,1312897-55-4,"4H-1-Benzopyran-4-one, 5-[(4-fluorophenyl)methoxy]-3-hydroxy-7-methoxy-2-(3-methyl-1H-1,2,4-triazol-5-yl)-",Not available,-0.8663392993881701,0.29836471660339897
92,1312909-26-4,"4H-1-Benzopyran-4-one, 6-[(4-fluorophenyl)methoxy]-3-hydroxy-7,8-dimethyl-2-(2-pyrimidinyl)-",Not available,-0.8667622945945702,0.2742097105735156
93,853792-98-0,"1H-Imidazo[4,5-c]quinoline-1-ethanol, 4-amino-ÃŽÂ±,ÃŽÂ±-dimethyl-2-(2-methylpropyl)-",Not available,-0.8674813864454505,0.211556881884657
94,1834500-72-9,"1Ã¢â‚¬Â²a-Carbaguanosine, 5Ã¢â‚¬Â²-O-phosphonoadenylyl-(3Ã¢â‚¬Â²Ã¢â€ â€™5Ã¢â‚¬Â²)-, cyclic nucleotide",Not available,-0.8675874857955641,0.26374801278787624
95,10142-53-7,"2,7-Naphthalenedisulfonic acid, 3-amino-4-(2-phenyldiazenyl)-, sodium salt (1:2)",Not available,-0.8678064617670542,0.25793499147219584
96,1947401-76-4,"9H-Purin-6-amine, 9-ÃŽÂ²-D-arabinofuranosyl-N-[[3,5-bis(trifluoromethyl)phenyl]methyl]-",Not available,-0.8692621728944943,0.2190703230014185
97,762241-04-3,"Urea, N-[3-[4-amino-2-(2-methoxyethyl)-1H-imidazo[4,5-c]quinolin-1-yl]-2,2-dimethylpropyl]-NÃ¢â‚¬Â²-phenyl-",Not available,-0.8734418796715477,0.29926923561908875
98,19556-58-2,"Uridine, 5-iodo-2Ã¢â‚¬Â²,3Ã¢â‚¬Â²-O-(1-methylethylidene)-",Not available,-0.8753307519122822,0.21021495929616
99,209214-07-3,"Glycine, N-(3Ã¢â‚¬Â²-azido-3Ã¢â‚¬Â²-deoxy-5Ã¢â‚¬Â²-thymidylyl)-",Not available,-0.8755073115136276,0.22723731318168644
